table,field,dtype,technical_description,business_definition,example_value,allowed_values,missing_rate,used_in_dashboard,confidence_level,treatment_cleaning_rule,business_risk_if_misused,derived,notes
orders,order_id,str,Order identifier (spine key).,The unique order — the spine every other table joins to. One row per order placed.,e481f51cbb… (32-char hex),32-char hex string (unique),0%,No,High,Spine key; no cleaning. Referential integrity verified (RI-00).,Joining to items/payments without aggregating to order grain first multiplies rows (fan-out).,no,
orders,customer_id,str,Per-order customer key (FK to customers; NOT the person).,"Per-order customer key, not a unique person identifier. Do not use for retention analysis.",9ef432eb62… (32-char hex),32-char hex string,0%,No,Low,Use customer_unique_id for any customer/retention/RFM metric — see DQ-03.,Counting customer_id as people zeroes out repeat rate and overstates customer count.,no,
orders,order_status,str,delivered / shipped / canceled / unavailable / invoiced / processing / created / approved.,Lifecycle state of the order; only 'delivered' should count toward net revenue and delivery KPIs.,delivered,delivered / shipped / canceled / unavailable / invoiced / processing / created / approved,0%,Yes,High,Defines the 'delivered' flag; net revenue restricted to delivered (DQ-05).,Including non-delivered orders inflates net revenue and distorts delivery metrics.,no,
orders,order_purchase_timestamp,str,When the order was placed.,When the customer placed the order — clock-start for delivery time and basis for the monthly trend.,2017-11-24 19:43:12,datetime (YYYY-MM-DD HH:MM:SS),0%,Yes,High,Parsed to datetime; basis for purchase_ym and delivery_days.,Parse/timezone errors shift the monthly trend and every delivery-day calculation.,no,
orders,order_approved_at,str,Payment approval time (160 null).,When payment was approved; the gap to purchase measures payment-processing lag.,2017-11-24 20:01:55,datetime or null,0.16% (160),No,High,160 nulls tie to non-approved/canceled orders; excluded from approval-timing (DQ-05).,Treating nulls as zero-lag understates payment-processing time.,no,
orders,order_delivered_carrier_date,str,"Handover to carrier (1,783 null).",When the parcel was handed to the carrier; separates seller handling from carrier transit.,2017-11-27 14:20:00,datetime or null,"1.79% (1,783)",No,Medium,"1,783 nulls = not yet shipped; excluded from carrier-time metrics (DQ-05).",Reading missing as an instant handoff understates seller/carrier handling time.,no,
orders,order_delivered_customer_date,str,"Delivery to customer (2,965 null).","When the customer actually received the order — end-point for delivery time, the strongest signal associated with satisfaction.",2017-12-04 18:30:00,datetime or null,"2.98% (2,965)",Yes,Medium,"2,965 nulls = not delivered; excluded from delivery KPIs (DQ-05).",Counting missing as on-time/zero-day understates delivery time and overstates the on-time rate.,no,
orders,order_estimated_delivery_date,str,Promised delivery date.,The delivery date promised to the customer at purchase; the benchmark for 'late'.,2017-12-15 00:00:00,datetime,0%,Yes,High,Promised date; basis for is_late / on-time rate.,A wrong benchmark flips is_late and misstates the on-time rate.,no,
order_items,order_id,str,Order identifier (spine key).,Order this line item belongs to; the join back to the order spine (one order → many items).,e481f51cbb… (32-char hex),32-char hex string,0%,No,High,Aggregate items to order grain before joining (DQ-01).,A direct join multiplies product revenue by item count (~+4.5%).,no,
order_items,order_item_id,int64,Item sequence within the order (1..n).,"Line-item sequence number within an order (1, 2, 3…), not a quantity.",1,1..21 (integer),0%,No,High,"Counted per order → n_items, the fan-out indicator (DQ-01).",Mistaking the max sequence for quantity miscounts units sold.,no,
order_items,product_id,str,Product key (FK to products).,Which product was bought on this line; links the sale to category and dimensions.,aca2eb7d00… (32-char hex),32-char hex string,0%,No,High,FK to products; integrity verified (RI-00).,A broken product join drops category revenue from the Pareto.,no,
order_items,seller_id,str,Seller key (FK to sellers).,Which seller fulfilled this line; supports seller-level operations analysis.,3442f8959a… (32-char hex),32-char hex string,0%,No,High,FK to sellers; no cleaning.,Multi-seller orders fan out if seller joins aren't aggregated.,no,
order_items,shipping_limit_date,str,Seller shipping deadline.,Deadline for the seller to hand the line to the carrier; a fulfilment SLA marker.,2017-11-29 19:43:12,datetime,0%,No,High,No cleaning; not used in headline KPIs.,—,no,
order_items,price,float64,Item price (BRL); summed to GMV at order grain.,Merchandise price of the line in BRL — the raw material of GMV.,129.90,> 0 (BRL),0%,Yes,High,Summed to order grain (order_product_revenue / GMV) before joining (DQ-01).,Summing after a multi-grain join double-counts GMV (~+4.5%).,no,
order_items,freight_value,float64,Item freight (BRL); reported separately.,Shipping charged on the line in BRL; tracked separately from merchandise revenue.,18.29,≥ 0 (BRL),0%,No,High,Summed to order_freight; reported separately from GMV.,Folding freight into GMV overstates merchandise revenue.,no,
order_payments,order_id,str,Order identifier (spine key).,Order this payment row settles; one order can have several payment/installment rows.,e481f51cbb… (32-char hex),32-char hex string,0%,No,High,Aggregate payments to order grain before joining (DQ-01).,A direct join multiplies cash collected (~+27%).,no,
order_payments,payment_sequential,int64,Installment row sequence within the order.,"Sequence of the payment row within an order (installment/method split), not a separate sale.",1,1..29 (integer),0%,No,High,"Counted per order → n_payments, the fan-out indicator (DQ-01).",Treating each row as a separate payment overstates cash and order count.,no,
order_payments,payment_type,str,credit_card / boleto / voucher / debit_card / not_defined (3).,How the customer paid; supports payment-mix analysis.,credit_card,credit_card / boleto / voucher / debit_card / not_defined,0%,No,Medium,3 'not_defined' rows flagged (DQ-08).,'not_defined' rows skew payment-mix charts if not flagged.,no,
order_payments,payment_installments,int64,Number of installments.,Number of installments the customer split the payment into (a Brazilian retail norm).,8,0..24 (integer),0%,No,High,Max per order → n_installments.,—,no,
order_payments,payment_value,float64,Payment amount (BRL); 9 rows <= 0.,Cash amount on the payment row in BRL — the raw material of 'cash collected'.,148.19,BRL (9 rows ≤ 0 flagged),0%,Yes,Medium,Summed to order_payment_total; 9 rows ≤ 0 excluded from cash metrics (DQ-08).,Summing after a join inflates cash collected ~+27%; ≤0 rows distort totals.,no,
order_reviews,review_id,str,Review identifier.,Unique satisfaction-survey record; occasionally more than one maps to an order.,7bc2406110… (32-char hex),32-char hex string,0%,No,High,Dedupe/aggregate to order grain before joining.,Duplicate reviews per order double-count if not reduced to order grain.,no,
order_reviews,order_id,str,Order identifier (spine key).,Order the review is about; the join back to the order spine.,e481f51cbb… (32-char hex),32-char hex string,0%,No,High,FK to orders; integrity verified (RI-00).,—,no,
order_reviews,review_score,int64,1–5 star rating.,Customer's 1–5 star rating — the headline satisfaction signal.,5,"1, 2, 3, 4, 5",0%,Yes,High,Used directly; mean per order feeds the score-vs-delivery analysis.,Averaging at the wrong grain or imputing missing biases satisfaction.,no,
order_reviews,review_comment_title,str,"Optional title (87,656 null).",Optional short title on the review; almost always blank — low analytical value.,Recomendo (usually blank),free text (Portuguese) or null,"88.3% (87,656)",No,Low,88.3% null; not used — see DQ-04.,Treating the 12% with a title as representative is selection bias.,no,
order_reviews,review_comment_message,str,"Optional free text (58,247 null; 40,977 present).",Optional free-text review — the voice-of-customer feeding the AI topic/sentiment step.,Produto chegou antes do prazo.,free text (Portuguese) or null,"58.7% (58,247)",Yes,Medium,"Scope text/AI analysis to the 40,977 with text; flag has_text, don't impute (DQ-04).",Generalizing the 41% who comment to all customers is selection bias.,no,
order_reviews,review_creation_date,str,Review survey sent date.,When the satisfaction survey was sent to the customer.,2017-12-05 00:00:00,datetime,0%,No,High,No cleaning.,—,no,
order_reviews,review_answer_timestamp,str,Review answered date.,When the customer answered the survey.,2017-12-06 13:44:00,datetime,0%,No,High,No cleaning.,—,no,
products,product_id,str,Product key (FK to products).,Unique product in the catalog; links sales to category and dimensions.,1e9e8ef04d… (32-char hex),32-char hex string (unique),0%,No,High,FK target; integrity verified (RI-00).,—,no,
products,product_category_name,str,Category in Portuguese (610 null).,Product category in Portuguese — the basis for category revenue concentration.,cama_mesa_banho,71 Portuguese labels or null,1.85% (610),Yes,Medium,Map to English; 610 nulls bucket to 'unknown' (DQ-06).,Dropping the 610 nulls hides a real revenue bucket; PT labels are unreadable to stakeholders.,no,
products,product_name_lenght,float64,"Title length (sic, original column name).",Character length of the product title (source typo preserved); a listing-quality proxy.,40,≥ 0 or null,~1.85% (610),No,Medium,Descriptive only; nulls track the uncategorized products (DQ-06).,—,no,
products,product_description_lenght,float64,Description length (sic).,Character length of the product description; a listing-quality proxy.,287,≥ 0 or null,~1.85% (610),No,Medium,Descriptive only; nulls track the uncategorized products (DQ-06).,—,no,
products,product_photos_qty,float64,Number of photos.,Number of catalog photos on the listing; a listing-quality proxy.,2,≥ 0 or null,~1.85% (610),No,Medium,Descriptive only; nulls track the uncategorized products (DQ-06).,—,no,
products,product_weight_g,int64,Weight (g).,Product weight in grams; affects freight and dimensional analysis.,650,> 0 (grams) or null,~0% (2 rows),No,Medium,A couple of missing dimensions documented; not used in headline KPIs (DQ-06).,Outliers or missing weights distort any freight or size analysis.,no,
products,product_length_cm,int64,Length (cm).,Package length in cm.,28,> 0 (cm) or null,~0% (2 rows),No,Medium,Missing dimensions documented; not used in headline KPIs (DQ-06).,—,no,
products,product_height_cm,int64,Height (cm).,Package height in cm.,12,> 0 (cm) or null,~0% (2 rows),No,Medium,Missing dimensions documented; not used in headline KPIs (DQ-06).,—,no,
products,product_width_cm,int64,Width (cm).,Package width in cm.,20,> 0 (cm) or null,~0% (2 rows),No,Medium,Missing dimensions documented; not used in headline KPIs (DQ-06).,—,no,
sellers,seller_id,str,Seller key (FK to sellers).,Unique marketplace seller.,3442f8959a… (32-char hex),32-char hex string (unique),0%,No,High,FK target; no cleaning.,—,no,
sellers,seller_zip_code_prefix,int64,Seller zip prefix.,Seller's postal-code prefix; locates the seller for logistics analysis.,13023,1–5 digit integer,0%,No,High,Joins to deduped geolocation if a map is needed (DQ-02).,Joining to un-deduped geolocation explodes rows.,no,
sellers,seller_city,str,Seller city.,"Seller's city (free text, lowercase).",campinas,free text (lowercase),0%,No,Medium,Free-text city names vary in spelling; no normalization applied.,Spelling variants split the same city across rows.,no,
sellers,seller_state,str,Seller state.,Seller's 2-letter Brazilian state.,SP,"2-letter BR state (SP, RJ, MG, …)",0%,No,High,No cleaning.,Using seller_state for demand geography misattributes where customers are.,no,
customers,customer_id,str,Per-order customer key (FK to customers; NOT the person).,"Per-order customer key, not a unique person identifier. Do not use for retention analysis.",06b8999e2f… (32-char hex),32-char hex string,0%,No,Low,Use customer_unique_id for any customer/retention/RFM metric — see DQ-03.,Counting customer_id as people zeroes out repeat rate and overstates customer count.,no,
customers,customer_unique_id,str,"Real person key — used for RFM/repeat (99,441 ids -> 96,096).","The stable person key — the correct identifier for repeat rate, RFM and any customer count.",861eff4711… (32-char hex),32-char hex string,0%,Yes,High,"Key RFM/repeat on this field; 99,441 order keys → 96,096 people (DQ-03).",—,no,
customers,customer_zip_code_prefix,int64,Customer zip prefix.,Customer's postal-code prefix; locates the buyer for logistics/geo analysis.,14409,1–5 digit integer,0%,No,High,Joins to deduped geolocation if a map is needed (DQ-02).,Joining to un-deduped geolocation explodes rows ~53×.,no,
customers,customer_city,str,Customer city.,"Customer's city (free text, lowercase).",franca,free text (lowercase),0%,No,Medium,Free-text city names vary in spelling; no normalization applied.,Spelling variants split the same city across rows.,no,
customers,customer_state,str,Customer state (used for revenue-by-state).,Customer's 2-letter Brazilian state — the basis for revenue-by-state (São Paulo = 38%).,SP,2-letter BR state,0%,Yes,High,"Used directly for revenue-by-state, avoiding the geolocation join entirely.",Using seller_state or geolocation instead misattributes demand geography.,no,
geolocation,geolocation_zip_code_prefix,int64,"Zip prefix (deduped to 19,015).",Postal-code prefix; the key the location table is collapsed to.,01037,"1–5 digit integer (19,015 distinct)",0%,No,Medium,"Dedupe 1,000,163 rows to one per prefix: mean lat/lng, modal city/state (DQ-02).",Joining un-deduped multiplies rows ~53× and corrupts any geo aggregate.,no,
geolocation,geolocation_lat,float64,Latitude (mean per prefix after dedupe).,Latitude ping for the prefix; averaged to one point per prefix after dedupe.,-23.5505,decimal degrees (Brazil bounds),0%,No,Medium,Mean latitude per prefix after dedupe (DQ-02).,Raw rows over-weight prefixes that have more pings.,no,
geolocation,geolocation_lng,float64,Longitude (mean per prefix after dedupe).,Longitude ping for the prefix; averaged to one point per prefix after dedupe.,-46.6333,decimal degrees (Brazil bounds),0%,No,Medium,Mean longitude per prefix after dedupe (DQ-02).,Raw rows over-weight prefixes that have more pings.,no,
geolocation,geolocation_city,str,City (modal per prefix).,City for the prefix (free text); reduced to the most common value per prefix.,sao paulo,free text (lowercase),0%,No,Medium,Modal city per prefix after dedupe (DQ-02).,Spelling variants and multi-city prefixes blur city-level maps.,no,
geolocation,geolocation_state,str,State (modal per prefix).,State for the prefix; reduced to the most common value per prefix.,SP,2-letter BR state,0%,No,Medium,Modal state per prefix after dedupe (DQ-02).,—,no,
category_translation,product_category_name,str,Category in Portuguese (610 null).,Portuguese category label — the lookup key to its English name.,beleza_saude,Portuguese category label,0%,No,High,Lookup key; 71 of 73 categories present (DQ-07).,Two PT categories missing here drop out of the English Pareto if not hand-added.,no,
category_translation,product_category_name_english,str,Category in English (2 added manually).,English category label shown to stakeholders in the category Pareto.,health_beauty,English category label,0%,Yes,High,"2 untranslated categories get manual labels: gaming_pc, portable_kitchen_and_food_preparers (DQ-07).",Missing manual labels drop pc_gamer / portable-kitchen revenue from the Pareto.,no,
orders_clean,order_product_revenue,float,Sum of items.price per order (GMV contribution).,"Merchandise revenue (GMV contribution) for the order = Σ item prices, computed before any join.",129.90,≥ 0 (BRL),0% (orders with items),Yes,High,Σ items.price at order grain (DQ-01).,"If recomputed from a fanned-out join, GMV inflates ~+4.5%.",yes,
orders_clean,order_freight,float,Sum of items.freight_value per order.,Total shipping for the order = Σ item freight; reported separately from GMV.,18.29,≥ 0 (BRL),0% (orders with items),No,High,Σ items.freight_value at order grain.,Folding into GMV overstates merchandise revenue.,yes,
orders_clean,order_value,float,order_product_revenue + order_freight.,Total order value = merchandise + freight; the order-grain figure used for AOV and reconciliation.,148.19,≥ 0 (BRL),0% (orders with items),Yes,High,"order_product_revenue + order_freight, per order (DQ-01).",Double-counts if derived after a multi-grain join.,yes,
orders_clean,n_items,int,Item count per order (fan-out indicator; max 21).,Items on the order — the fan-out indicator that proves the join-grain risk (max 21).,1,1..21 (integer),0%,Yes,High,Count of item rows per order (DQ-01).,Misread as 'quantity sold' rather than a fan-out diagnostic.,yes,
orders_clean,order_payment_total,float,Sum of payment_value per order.,Cash collected on the order = Σ payment rows; matches order_value almost exactly (r = 1.000).,148.19,≥ 0 (BRL),0%,Yes,High,Σ payments.payment_value at order grain (DQ-01).,Inflates ~+27% if summed after joining payments directly.,yes,
orders_clean,n_payments,int,Payment-row count per order (fan-out; max 29).,Payment/installment rows on the order — the cash-side fan-out indicator (max 29).,1,1..29 (integer),0%,Yes,High,Count of payment rows per order (DQ-01).,Misread as separate payments overstates cash and transaction count.,yes,
orders_clean,n_installments,int,Max installments on the order.,Largest installment count on the order; a credit-behavior signal.,8,0..24 (integer),0%,No,High,Max installments across the order's payment rows.,—,yes,
orders_clean,main_payment_type,str,Payment type of the largest payment row.,Payment method of the order's largest payment row; the order's headline method.,credit_card,credit_card / boleto / voucher / debit_card,0%,No,High,Type of the largest payment row per order.,A single-method label hides mixed-method orders.,yes,
orders_clean,delivered,bool,order_status == 'delivered'.,Whether the order reached the customer; the gate for net revenue and delivery KPIs.,TRUE,TRUE / FALSE,0%,Yes,High,order_status == 'delivered' (DQ-05).,Net revenue/AOV are wrong if undelivered orders aren't excluded.,yes,
orders_clean,delivery_days,float,"delivered_customer - purchase, in days.",Days from purchase to delivery — the operational signal most associated with low scores (median 10.2 d).,10.2,≥ 0 (days) or null,~2.98% (non-delivered),Yes,Medium,delivered_customer − purchase; null when not delivered (DQ-05).,Counting nulls as 0 understates delivery time and the r = −0.33 signal.,yes,
orders_clean,est_delivery_days,float,"estimated - purchase, in days.",Promised delivery time in days (estimate − purchase); the benchmark behind is_late.,21.0,≥ 0 (days),0%,No,High,estimated − purchase.,—,yes,
orders_clean,is_late,bool,delivered_customer > estimated_delivery_date.,Whether delivery missed the promised date; the on-time / late flag.,FALSE,TRUE / FALSE,~2.98% (needs delivery date),Yes,Medium,delivered_customer > estimated_delivery_date (DQ-05).,Computed on missing delivery dates it gives a false on-time rate.,yes,
orders_clean,purchase_ym,str,Year-month of purchase.,"Year-month of purchase; the time axis for the monthly trend (peak Nov-2017 = 7,289).",2017-11,YYYY-MM (2016-09 … 2018-08),0%,Yes,High,Year-month bucket of order_purchase_timestamp.,—,yes,
orders_clean,review_score,float,Mean review score per order.,Mean review score for the order; the satisfaction measure joined to delivery time.,5,1.0–5.0 or null,Sparse (orders without a review),Yes,Medium,Mean of review_score per order.,Missing ≠ neutral; imputing biases satisfaction.,yes,
orders_clean,review_has_text,int,1 if any review has comment text.,Flag for whether the order's review carried free text; scopes the voice-of-customer sample.,1,0 / 1,0%,No,High,1 if any review on the order has comment text (DQ-04).,—,yes,
products_clean,category_en,str,English category; nulls bucketed as 'unknown'.,Stakeholder-readable English category; the dimension behind the 18-of-74 concentration finding.,health_beauty,English label or 'unknown',0% (610 → 'unknown'),Yes,High,Mapped from PT via the translation table; nulls bucketed 'unknown' (DQ-06/DQ-07).,Dropping 'unknown' hides ~1.85% of products and their revenue.,yes,
customer_rfm,recency_days,int,Days since last purchase (ref = max purchase date).,Days since the customer's last purchase (vs the dataset's max date); the R in RFM.,115,≥ 0 integer,0%,Yes,High,Per customer_unique_id; reference = max purchase date (DQ-03).,Keyed on customer_id instead of unique_id makes everyone look like a one-time buyer.,yes,
customer_rfm,frequency,int,Distinct orders per customer_unique_id.,Distinct orders per person; the F in RFM and the basis for repeat rate (3.12%).,1,≥ 1 integer,0%,Yes,High,Distinct orders per customer_unique_id (DQ-03).,Keyed on customer_id zeroes out the repeat rate.,yes,
customer_rfm,monetary,float,Total order_value per customer_unique_id.,Total spend per person; the M in RFM.,148.19,≥ 0 (BRL),0%,Yes,High,Σ order_value per customer_unique_id (DQ-03).,A wrong key splits one person's spend across multiple order ids.,yes,
customer_rfm,R_score,int,Recency quintile (5 = most recent).,Recency quintile (5 = most recent); part of the transparent RFM rule.,4,1..5,0%,Yes,High,Quintile of recency_days.,—,yes,
customer_rfm,M_score,int,Monetary quintile (5 = highest).,Monetary quintile (5 = highest spend); part of the RFM rule.,3,1..5,0%,Yes,High,Quintile of monetary.,—,yes,
customer_rfm,is_repeat,bool,frequency >= 2 (repeat customer).,Whether the person ordered more than once; the headline retention flag (3.12% true).,FALSE,TRUE / FALSE,0%,Yes,High,frequency ≥ 2 on customer_unique_id (DQ-03).,Keyed on customer_id this collapses to ~0% — a fabricated 'no repeats' story.,yes,
customer_rfm,segment,str,RFM segment label (transparent rule).,"Plain-language RFM segment for targeting (e.g., new, loyal, at-risk).",New / One-time,RFM segment label,0%,Yes,High,Transparent rule over R/M scores and repeat status.,Opaque segment rules undermine stakeholder trust.,yes,
review_classification,topic,str,AI topic: delivery_shipping/product_quality/price_value/customer_service/other.,AI-assigned theme of the review; feeds the negative-review breakdown (product 52% / delivery 38%).,delivery_shipping,delivery_shipping / product_quality / price_value / customer_service / other,"0% (within 1,000 sample)",Yes,Medium,LLM label validated vs an independent 2nd LLM annotator: κ = 0.81 (DQ-10).,Treating sample labels as a full-population count over-claims precision.,yes,
review_classification,sentiment,str,AI sentiment: negative/neutral/positive (validated).,AI-assigned sentiment of the review text; cross-checked against the star rating it never saw.,negative,negative / neutral / positive,"0% (within 1,000 sample)",Yes,Medium,"LLM label validated: κ = 0.89, 82.8% star agreement (DQ-10).",Treating labels as ground truth ignores the validated error rate.,yes,
